Geneid gene_name HFD_1 HFD_2 HFD_3 LFD_1 LFD_2 LFD_3
ENSMUSG00000120372.1 ENSMUSG00000120372 1 1 4 1 4 1
ENSMUSG00000051285.18 Pcmtd1 2017 2208.5 2490.5 1635.5 2417 1046
ENSMUSG00000098201.2 Gm26983 4 6 4 8 13 8
ENSMUSG00000103509.2 Gm38372 84 186 55 192 246 125
ENSMUSG00000048538.8 Gm9826 47.5 44.5 41.67 57.58 34.33 50.17
ENSMUSG00000103709.2 Nras-ps2 0 0 0 0 0 0
ENSMUSG00000077244.3 Gm23274 0 0 0 0 0 0
ENSMUSG00000102768.2 Gm19002 0 0 0 0 0 0
ENSMUSG00000097797.7 Gm26901 3 3.5 1 8.5 8.5 2
ENSMUSG00000103498.2 Gm18984 0 0 0 0 0 0
ENSMUSG00000103067.2 Gm30414 0 0 0 0 0 0
ENSMUSG00000102320.2 Gm37791 0 0 0 0 0 0
ENSMUSG00000104226.2 Gm7470 0 0 0 0 0 0
ENSMUSG00000103903.2 Rps2-ps2 0 0 0 0 0 0
ENSMUSG00000103557.2 Gm38216 0 0 0 0 0 0
ENSMUSG00000025909.17 Sntg1 2 1 21 0 65 5
ENSMUSG00000102647.2 Gm38024 0 0 0 0 4 0
ENSMUSG00000086235.2 Gm16284 3 4.5 2.5 4 4.5 3
ENSMUSG00000102253.2 Gm38259 0 1 0 0 3 0
ENSMUSG00002074990.1 Gm54704 0 0 0 0 0 0
ENSMUSG00000103884.2 Gm37005 0 0 0 0 2 0
ENSMUSG00000084353.2 Gm15452 8.33 12.58 1.25 19.92 4.75 24.17
ENSMUSG00000103933.2 Gm36964 4.6 0.5 47.17 2 4.6 3.1
ENSMUSG00002075967.1 Gm54706 137.96 201.21 109.4 197.6 122.18 123.03
ENSMUSG00000086195.2 Gm6152 0 0 0 0 0 0
ENSMUSG00000104504.2 Gm7445 0 0 0 0 0 0
ENSMUSG00000066693.3 Gm7493 22.23 23.2 29.75 12.3 14.35 11.95
ENSMUSG00000102316.2 Gm37629 0 0 0 0 1 0
ENSMUSG00000103819.2 Gm38008 0 0 0 0 0 0
ENSMUSG00000102871.2 Gm37143 1 2 1 0 9 0
ENSMUSG00000101571.3 Gm6187 0 1 0 0 0.2 0
ENSMUSG00000104428.2 Gm18299 1 2 0 0 3 0
ENSMUSG00000102272.2 Gm7512 3 2 1 1 4 0
ENSMUSG00000065625.3 Gm24765 0 1 0 0 0 0
ENSMUSG00000103411.2 Gm18300 1 26 7 6 17 3
ENSMUSG00000061024.9 Rrs1 275.17 287.5 470.83 363 404.17 343.17
ENSMUSG00000025911.15 Adhfe1 2388 2446 2807.5 978 2101.5 460
ENSMUSG00000079671.10 2610203C22Rik 190 206 193 113 262.5 99
ENSMUSG00000081441.4 Gm6161 45.8 56.13 26.33 83.98 52.98 67.68
ENSMUSG00000067879.4 Vxn 4 3 5.5 12 18 9
ENSMUSG00000099827.2 Gm29520 0 0 0 0 0 0
ENSMUSG00000025912.17 Mybl1 51 77 20 105 38 110
ENSMUSG00000045210.9 Vcpip1 1293 1415 1020 1834.5 1702 1448.5
ENSMUSG00000097893.10 1700034P13Rik 47.5 58 46 74.7 75 83
ENSMUSG00000025915.15 Sgk3 673.5 902.5 500 1532 901.5 697
ENSMUSG00000046334.5 Gm6195 22 25 18 35 13 25.5
ENSMUSG00002075801.1 Gm54812 2 0 0 5 5 5
ENSMUSG00000098234.9 Snhg6 182 185.5 163 260.5 197.5 296
ENSMUSG00000046101.17 Mcmdc2 33 31.5 28 59.5 40.9 49.2
ENSMUSG00000093178.3 Snord87 0 2 1 2 2 1
ENSMUSG00000099032.3 Tcf24 13 13 7.5 8.5 44 34
ENSMUSG00000104025.2 E330040D14Rik 0 0 0.5 0.5 2 1
ENSMUSG00000025916.11 Ppp1r42 0 0 0 1 3 0
ENSMUSG00000087199.2 Gm15818 0 0 0 0 0 1
ENSMUSG00000121270.1 ENSMUSG00000121270 0 0.2 0 0 0 1
ENSMUSG00000119658.1 Gm24674 0 0 0 0 0 0
ENSMUSG00000025917.10 Cops5 875.5 810 1197.5 898.5 937.5 852.5
ENSMUSG00000056763.17 Cspp1 319 685 264.5 747.5 736.5 640
ENSMUSG00000102356.2 1700047N06Rik 1 4 1 5 6 3
ENSMUSG00000067851.12 Arfgef1 1904.7 2091 1779.5 2364.5 2393.6 1866.75
ENSMUSG00002076532.1 Gm54899 3 10 0 10 7 6
ENSMUSG00000102556.2 Gm37569 14 40 10 34 24.5 31
ENSMUSG00000042501.13 Cpa6 0 0.2 0 1.2 0.2 0
ENSMUSG00000103810.2 Gm38005 0 0 0 0 0 0
ENSMUSG00000083422.2 Gm15604 0 0 0 0 0 0
ENSMUSG00000119312.1 Gm25253 0 0 0 0 0 0
ENSMUSG00000081417.2 Gm15603 0 0 0 0 0 0
ENSMUSG00000103448.2 Gm37133 0 0 0 0 0 0
ENSMUSG00000100212.2 Gm5522 9.5 3.5 7.5 1.5 8 4
ENSMUSG00000100648.2 Gm28659 1.2 2.2 0 0.33 2.2 0.2
ENSMUSG00002076499.1 Gm54912 0 0 0 0 0 0
ENSMUSG00000048960.14 Prex2 2149.73 3510.8 1314.07 3122.27 1668.53 1002.83
ENSMUSG00000077318.3 Gm24173 2 5 2 5 8 1
ENSMUSG00000101827.2 Gm28686 2 3.2 2.25 5 1 3
ENSMUSG00000103494.2 Gm37410 0 0 0 0 0 0
ENSMUSG00000057715.14 A830018L16Rik 182 275 251 133 396 38
ENSMUSG00000103825.2 Gm38178 2 9 4 7 22 2
ENSMUSG00000099845.2 Gm29273 0 2 1 1 3 0
ENSMUSG00000103561.2 Gm38069 1 2 0 5 7 1
ENSMUSG00000101610.2 Gm7560 28.33 23.83 34.42 19.92 14.58 10.58
ENSMUSG00000118923.1 Gm22633 0 0 0 0.5 0 0
ENSMUSG00000098555.3 Mir6341 0 0 0 0 0 0
ENSMUSG00000097628.2 Gm2383 22.45 12.45 30.45 13 11.4 7.8
ENSMUSG00000098163.2 Gm6216 0 0 0 0 0 0
ENSMUSG00000097171.2 Gm17644 0.2 0.4 0.4 0.8 0 0.2
ENSMUSG00000101314.2 Gm29663 0 0 0 0 0 0
ENSMUSG00000016918.16 Sulf1 1236 1532 699 653 1518 5720
ENSMUSG00000025938.17 Slco5a1 20 28 74 15 397 84
ENSMUSG00000104518.2 Gm37162 0 0 0 0 0 0
ENSMUSG00000069620.7 Gm5250 0 0 0 0 0 0
ENSMUSG00000099498.2 Gm29283 0 0 0 0 0 0
ENSMUSG00000042414.8 Prdm14 0 0 0 0 0 0
ENSMUSG00000005886.15 Ncoa2 1121 1225 1197.5 1260 1775 1411
ENSMUSG00000103506.2 Gm38376 18 20.4 11 27 42.33 15
ENSMUSG00000103495.2 Gm37409 15 25 4 17 30 25
ENSMUSG00002076346.1 Gm55160 1 2 1 0 4 4
ENSMUSG00000102639.2 Gm38223 2 3 0 11 10 10
ENSMUSG00000104170.2 Gm37702 17 18 8 28 27 28
ENSMUSG00000087782.3 Gm23169 1 2 0 0 0 0
ENSMUSG00000103085.2 Gm38120 42.67 71.2 33.4 109.53 107 77.53
ENSMUSG00000102664.2 Gm38380 13 41 17 51 44 37
ENSMUSG00000101476.2 Gm29570 1 0 0 1 0 2
ENSMUSG00000101171.2 Gm7593 2 1.5 1.5 3 1 1.5
ENSMUSG00000025935.11 Tram1 2176 2483 1589 3492 2197 3562
ENSMUSG00000120948.1 ENSMUSG00000120948 0 0 0 0 0 0
ENSMUSG00000025937.7 Lactb2 1310.9 1144 1716.2 678 905 409.2
ENSMUSG00000102982.2 Gm38319 6 32 4 18.2 39 15.2
ENSMUSG00000067813.4 Xkr9 0 0 0 0 0 0
ENSMUSG00000077368.3 Gm26273 0 0 0 0 0 0
ENSMUSG00000097711.2 Gm5523 30.2 29 47.2 18 25 18.3
ENSMUSG00000102166.2 Gm36947 0 0 0 0 0 0
ENSMUSG00002075174.1 Gm55173 0 0 0 0 0 0
ENSMUSG00000104209.2 Gm37400 0 0 0 0 0 0
ENSMUSG00000025932.15 Eya1 20 24 22 38 91 22
ENSMUSG00002075819.1 Gm55247 1 0.4 0 1 0.2 0
ENSMUSG00000102588.2 Gm37444 0 0 0 0 0 0
ENSMUSG00000054493.3 Gm9947 5.5 3.5 11 3 34.5 8
ENSMUSG00000025930.7 Msc 9.5 11.5 16 8 45.5 16
ENSMUSG00000103492.2 Gm37412 4 2 2 1 2 1
ENSMUSG00000081201.2 Smt3h2-ps4 64.3 71.9 52.83 81.75 61.6 76.08
ENSMUSG00000082193.2 Rpl5-ps1 675.28 682.99 559.61 982.03 812.86 1007.64
ENSMUSG00000032769.6 Trpa1 0 0 0 0 0 0
ENSMUSG00000088159.3 Gm26345 0 0 0 0 0 0
ENSMUSG00000073737.4 Gm10566 220.68 190.66 344.04 154.06 162.65 121.4
ENSMUSG00000092083.5 Kcnb2 0 0 0 0 0 1
ENSMUSG00000102937.2 Gm38116 0 0 0 0 0 0
ENSMUSG00000104149.2 Gm37138 0.25 0.2 0 0.65 0 0.2
ENSMUSG00000088829.3 Gm25227 0 0 0 0 0 0
ENSMUSG00000077377.3 Gm25168 0 0 0 0 0 0
ENSMUSG00000101652.2 Gm6060 0 0 1 0.2 0 0
ENSMUSG00000100814.2 Gm28669 0 0 0 0 0 0
ENSMUSG00000025925.15 Terf1 126.4 184.6 60 223.2 163.25 229.4
ENSMUSG00000104379.2 Gm37509 3 8.5 8.5 10.5 14.5 8.5
ENSMUSG00000032719.5 Sbspon 3 10.5 8.5 7.5 8.5 7.5
ENSMUSG00002076565.1 Gm55274 0 0 0 0 0 0
ENSMUSG00000100652.2 Gm7634 0 0 0 0 0 0
ENSMUSG00000067795.14 4930444P10Rik 0 1 0 0 1 0
ENSMUSG00000043716.14 Rpl7 5022.91 5632.58 5091.83 7682.83 6137.16 6542
ENSMUSG00000025921.8 Rdh10 206 282 200 203 258.5 378
ENSMUSG00000104165.2 Gm38249 0 0 0 0 0 0
ENSMUSG00000100868.2 Gm28095 0 5 2 0 3 1
ENSMUSG00000025920.20 Stau2 466 401 448 236 422 181
ENSMUSG00000089982.8 Gm7568 2 5 1 3 2 1
ENSMUSG00000025939.20 Ube2w 1234.5 1055 935 917 945.5 658
ENSMUSG00000102457.2 Gm38342 21.5 18 7.5 19 13.5 25
ENSMUSG00000079658.10 Eloc 1037 925 729 941 680 612
ENSMUSG00000097744.2 D030040B21Rik 1 0 1 0 0 0
ENSMUSG00000100959.2 Idi1-ps5 1 0 2 0 1 1
ENSMUSG00000025940.7 Tmem70 1470 1411.33 1243 800 757 426
ENSMUSG00000025779.11 Ly96 71 75 38 164 65 104
ENSMUSG00000100093.2 Gm29649 0 0 0 0 0 0
ENSMUSG00000091020.4 Gm5828 16.5 17.5 14 25 13 17
ENSMUSG00000101640.2 Gm28376 1.9 1.1 3.7 0.4 12.9 1.4
ENSMUSG00000104133.2 4921511E07Rik 0 0 0 1 1 0
ENSMUSG00000042686.6 Jph1 64.5 39.5 357.5 32 806.5 108
ENSMUSG00000100110.2 Gm28783 0 0 0 0 0 0
ENSMUSG00000025777.9 Gdap1 1 6 9 4 26 4
ENSMUSG00000099899.2 Gm28784 0 0 0 0 0 0
ENSMUSG00000100272.2 Gm28785 0 0 0 0 0 0
ENSMUSG00000100398.2 Gm5251 0 0 0 0 0 0
ENSMUSG00000101589.2 Rbm6-ps1 27.5 46.5 27.5 35.5 17 31.5
ENSMUSG00000102048.2 Gm6075 0 0 0 0 0.2 0
ENSMUSG00000089534.3 Gm25166 0 0 0 0 0 0
ENSMUSG00000067780.4 Pi15 115.5 89.5 44.5 25.25 182.5 349.5
ENSMUSG00000100053.2 Gm28154 1.5 7.5 3.5 3 7.5 4.5
ENSMUSG00000085125.8 Gm16070 4.5 33.5 8 22 15.5 8.5
ENSMUSG00000025776.14 Crispld1 42.5 115.5 66 72 65.5 60.5
ENSMUSG00000099895.2 Gm28153 0 0 1 1 1 0
ENSMUSG00000100554.2 Gm7690 0 0 0.5 1 0 0
ENSMUSG00000099473.2 Gm18775 0 0 0 0 0 0
ENSMUSG00000099591.2 Gm17969 0 0 0 2 0.5 0
ENSMUSG00000109887.2 Gm28756 0 0.4 0 1.6 0.2 0.6
ENSMUSG00000102001.2 Gm28755 0 0 0 0 0 0
ENSMUSG00000101717.3 Gm45784 0 0 0 0 0 0
ENSMUSG00000025774.15 Crisp4 0 0 0 0 0 0
ENSMUSG00000070977.5 Defb44-ps 0 0 0 0 0 0
ENSMUSG00000073735.2 Defb18 0 0 0 0 0 0
ENSMUSG00000067773.7 Defb41 0 0 0 0 0 0
ENSMUSG00000101685.2 Gm17837 0 1 0 0 1 1
ENSMUSG00000101306.2 Gm5252 0 0 0 0 0 0
ENSMUSG00000088800.4 Gm24075 0 0 0 0 0 0
ENSMUSG00000101644.2 Gm28343 0 0 0 0 0 0
ENSMUSG00000099433.2 Gm28344 0 0 0 0 0 0
ENSMUSG00000089787.3 Gm15825 0 0 0 0 0 0
ENSMUSG00000042596.8 Tfap2d 0 0 0 0 0 0
ENSMUSG00000100720.2 Gm10075 43.8 46.05 45.2 64 49.4 75.2
ENSMUSG00000025927.14 Tfap2b 0 0 0 0 0 0
ENSMUSG00000100538.2 Gm28340 0 0 0 0 0 0
ENSMUSG00000101117.2 Gm28341 0 0 0 0 0 0
ENSMUSG00000100204.2 Gm4849 11.5 20.5 17.5 23.5 25.5 17
ENSMUSG00002076883.1 Gm55451 0 0 0 0 0 0
ENSMUSG00000102597.2 Gm38382 0 0 0 0 0 0
ENSMUSG00000043760.17 Pkhd1 1 0 0 0 36 0
ENSMUSG00000104095.2 Gm37315 0 1 0 0 0.2 0
ENSMUSG00000089914.3 4930486I03Rik 0 0 0 0 0 0
ENSMUSG00000090142.3 Gm15795 3.83 3.2 2 3 2.6 2.6
ENSMUSG00000070175.3 Gm24162 0 0 0 0 0 0
ENSMUSG00000099906.3 Lincmd1 1 1 2 0 184 2
ENSMUSG00000065559.3 Mir206 0 0 0 0 1 0
ENSMUSG00000065480.3 Mir133b 0 0 0 0 2 0
ENSMUSG00000025929.5 Il17a 0 0 0 0 0 0
ENSMUSG00000041872.10 Il17f 0 0.4 0.2 0 1 0.4
ENSMUSG00000041859.11 Mcm3 438 501 121 831 256 772
ENSMUSG00000099714.2 Gm20587 0 0 0 0 0 0
ENSMUSG00000102121.2 Gm28065 0 0 0 0 0 0
ENSMUSG00000088858.3 Gm24723 0 0 0 0 0 0
ENSMUSG00000097934.2 6720483E21Rik 0 0 1 1 0 0
ENSMUSG00000025931.16 Paqr8 41 56 40 76 57 86
ENSMUSG00000077314.3 Gm24171 0 0 0 0 1 0
ENSMUSG00000100929.2 Gm28064 0 0 0 0 0 0
ENSMUSG00000041809.6 Efhc1 25 36 13 31 38 47
ENSMUSG00000041779.6 Tram2 407 424 236 515 620 1113
ENSMUSG00000099971.2 Gm28287 1 0 0 0 0 0
ENSMUSG00000100819.2 Gm2693 1 0 4 1 1 4
ENSMUSG00000025933.16 Tmem14a 50.5 39 61.33 40.33 54.33 49.33
ENSMUSG00000102633.2 Gm38224 0.2 2 0 1.2 2.2 0.2
ENSMUSG00000025934.16 Gsta3 119 24 2805 10 1056 90
ENSMUSG00000099343.2 Gm28836 0 3 3 3 2 0
ENSMUSG00000096375.3 Gm7094 1 0.5 0.5 0.5 3.5 0
ENSMUSG00000121505.1 Gm4956 4.5 1.5 3 10.5 10 3
ENSMUSG00000025936.18 Gm4956 0.5 0.5 1 0.5 1 0
ENSMUSG00000093963.2 Gm21909 0 0 0 0 0 0
ENSMUSG00000067750.4 Khdc1a 4.83 8 0 2.33 3.5 1.5
ENSMUSG00000086194.2 Gm16329 0 3 0 2 0 0
ENSMUSG00000094436.2 Gm16327 0 0 0 0 0 0
ENSMUSG00000041722.8 Khdc1c 1.83 4 0 5.33 2.5 0.5
ENSMUSG00000085507.2 Gm2709 0 1 0 0 0 0
ENSMUSG00000094926.2 Gm16533 0 0 0 0 0 0
ENSMUSG00000085079.4 Khdc1b 0.83 0 1.5 0.33 0 0.5
ENSMUSG00000085679.3 Gm16328 0 1 0 0 0 0
ENSMUSG00000028033.17 Kcnq5 22 39 49 61 197 38
ENSMUSG00000104138.2 Gm36949 0 1 0 1 3 0
ENSMUSG00000082935.4 Gm7658 217 251 230 328 219.5 196.5
ENSMUSG00000103748.2 Gm38243 1 7.2 1 8 17 2
ENSMUSG00000099692.2 Gm5696 0.25 0 0 0 0 0
ENSMUSG00000100418.2 Gm28239 0 0 0 0 0 0
ENSMUSG00000041670.20 Rims1 0 0 1 0 2 2
ENSMUSG00000097642.2 Gm26866 0 0 0 0 0 0
ENSMUSG00000101468.2 Gm7761 0 0 0 0 0 0
ENSMUSG00000101227.2 Gm29506 0 0 1 0 2 0
ENSMUSG00000073730.3 Ppp1r14bl 0 0 1 0 0 0
ENSMUSG00000089553.3 Gm24176 0 0 0 0 1 0
ENSMUSG00000102766.2 Gm6420 0 0 2 0 1 0
ENSMUSG00000065405.5 Mir30a 2 7 2 3 6 2
ENSMUSG00000097970.2 Gm27028 12 26 26 31.5 60.5 10.5
ENSMUSG00000065567.3 Mir30c-2 2 3 3 3.5 5.5 2.5
ENSMUSG00000100775.2 Gm29107 0 3 2 0 3 1
ENSMUSG00000101226.2 Gm20954 0 0 0 0 0 0
ENSMUSG00000026158.12 Ogfrl1 204 258.5 243.5 541.5 353.5 373
ENSMUSG00000097920.2 Gm7784 0 0 0 0.2 0 0
ENSMUSG00000099503.2 Gm28822 0 0 0 0 0 0
ENSMUSG00000026156.9 B3gat2 288 348 303.5 377.5 287 338
ENSMUSG00000026155.14 Smap1 590 606 595.5 667.5 577 668
ENSMUSG00000026154.5 Sdhaf4 342.5 302.5 252 198 200 148
ENSMUSG00000102495.2 Gm26524 10.5 12.5 10 8 4 4
ENSMUSG00000026153.16 Fam135a 315 456 314 280 430 354
ENSMUSG00000102398.2 Gm37580 0 0 1 2 1 2
ENSMUSG00000097670.2 Gm26607 0 0 0 0 0 0
ENSMUSG00000026147.17 Col9a1 0 0 0 0 1 0
ENSMUSG00000026141.14 Col19a1 5 9 9 5 17 3
ENSMUSG00000077463.3 Gm26418 0 0 0 0 0 0
ENSMUSG00000099997.2 Tubb4b-ps2 98.33 96.25 152.5 82.33 79.08 70.67
ENSMUSG00000100131.2 Gm28439 30209 17707.33 12090 8983.25 10410.25 2255.25
ENSMUSG00000067736.3 Gm10222 6123.75 3661.08 2664.5 1873.75 2115.25 494.25
ENSMUSG00000101939.2 Gm28438 42486.5 27662 22755.5 11764.5 9472.25 2818
ENSMUSG00000101111.2 Gm28437 237049.25 165239.75 146150.75 88851.75 78470.5 26297
ENSMUSG00000100862.2 Gm10925 158615.75 105529.08 83209.25 51509 44427.75 13968
ENSMUSG00000102070.2 Gm28661 161147.77 114771.55 74147.32 53506.04 44662.22 18271.63
ENSMUSG00000101249.2 Gm29216 167579.79 136583.69 91721.76 78665.7 70661.98 24603.6
ENSMUSG00000073725.9 Lmbrd1 1113 1236 1154 1285.7 1255.95 891.2
ENSMUSG00000100808.2 Gm28594 0 0 0 0 0 0
ENSMUSG00000100483.2 Gm28237 0 0 0 0 0 0
ENSMUSG00000100450.2 Gm9443 0.2 0 0 0 0 0
ENSMUSG00000099392.2 Gm29414 0 0 0 0 0 0
ENSMUSG00000033569.18 Adgrb3 1 2 1 1 1 6
ENSMUSG00000080849.2 Gm15702 8.2 7.4 7 11.2 7.4 12.8
ENSMUSG00000104257.2 Gm20172 0 0 0 1 0 0.33
ENSMUSG00000119153.1 Gm22260 0 0 0 0 0 0
ENSMUSG00000102296.2 Gm37543 0 0 0 0 0 0
ENSMUSG00000103209.2 Gm37331 0 0 0 0 0 1
ENSMUSG00000104027.2 Gm37211 2 0 0 2 0 0
ENSMUSG00000102407.2 Gm37862 0 0 0 0 0 0
ENSMUSG00000103214.2 Gm38286 0 0 0 0 0 0
ENSMUSG00000104100.2 Gm37880 0 0 0 1 0 0.4
ENSMUSG00000084740.3 Gm25294 0 0 0 0 0 0
ENSMUSG00000103889.2 Gm37011 0 0 0 0 0.2 0
ENSMUSG00000101301.2 Gm29214 0 0 0 0 0 0
ENSMUSG00000104221.2 Gm37051 0 0 0 0 1 0
ENSMUSG00000102250.2 Gm38260 1 0 0 0 0 0
ENSMUSG00000102317.2 Gm37628 1 0 2 0 2 2
ENSMUSG00000103563.2 8030445P17Rik 0 0 1 0 0 0
ENSMUSG00000102465.2 Gm38198 0 1 0 1.5 0 1
ENSMUSG00000102659.2 Gm37077 0.2 0 0 0 0 0
ENSMUSG00000103924.2 Gm37895 1 2 0 1 1 0
ENSMUSG00000104132.2 Gm36952 0 1 0 0 0 0
ENSMUSG00000102747.2 Gm37602 0 0 1 0 1 0
ENSMUSG00000102386.2 2900022M07Rik 0 0 0 0 0 0
ENSMUSG00000103004.2 2900002M20Rik 0 0 0 0 0 0
ENSMUSG00000104516.2 Gm9884 0 0 0 0 0 0
ENSMUSG00000101618.2 Gm18443 0 0 0 0 0 0
ENSMUSG00000099458.2 Gm19123 0 0 0 0 0 0
ENSMUSG00000088111.3 Gm24064 0 0 0 0 0 0
ENSMUSG00000073722.4 4931408C20Rik 0 3 0 3 0 2
ENSMUSG00000119695.1 n-R5s209 0 0 0 0 0 0
ENSMUSG00000100310.2 Gm19641 0 0 0 0 0 0
ENSMUSG00000101514.3 Gm5524 0 0 0 0 0 0
ENSMUSG00000101033.2 Gm18776 0 0 0 0 0 0
ENSMUSG00000101372.2 Gm19028 6 12 7 7 5 12
ENSMUSG00000103241.2 Gm38089 0 0 0 0 0 0
ENSMUSG00000086240.5 Gm7846 16.67 13.33 18.67 27.83 15.67 15.67
ENSMUSG00000048411.5 Gm597 0 0 0 0 0 0
ENSMUSG00000081557.3 Gm5697 4 5 7 6 10 14
ENSMUSG00000058590.3 Gm6462 0 0 0 0 0 0
ENSMUSG00000101235.2 Gm18033 0 0 0 0 0 0
ENSMUSG00002075209.1 Gm55767 0 0 0 0 0 0
ENSMUSG00002076857.1 Gm55769 0 0 0 0 0 0
ENSMUSG00002074912.1 Gm55770 0 0 0 0 0 0
ENSMUSG00000099257.3 Mir6342 0 0 0 0 0 0
ENSMUSG00000099492.2 Gm5525 216.25 218.58 287.83 303.41 252.2 312
ENSMUSG00000118548.2 Gm53035 0 0 0 0 0 0
ENSMUSG00000101726.2 Gm7858 0 0 0 1 1 0.33
ENSMUSG00002075317.1 Gm55771 0 0 0 0 0 0
ENSMUSG00002075289.1 Gm55772 0 0 0 0 0 0
ENSMUSG00000053185.3 Gm9898 0 0 0 0 0 0
ENSMUSG00000100261.2 Gm6473 36.5 40.5 38.83 37.5 34 33.33
ENSMUSG00000101180.2 Gm2914 0 0 0 0 0 1
ENSMUSG00000048874.16 Phf3 1768 2118.5 1618.5 2222.5 2233.5 2056.5
ENSMUSG00000103783.2 Gm37522 26 51 10 65 52 38
ENSMUSG00000104315.2 Gm37906 37 96 34 94 105 61
