Geneid	gene_name	Foam_1	Foam_2	Foam_3	NonFoam_1	NonFoam_2	NonFoam_3
ENSMUSG00000103825.2	Gm38178	0	1	0	2	0.40	1.20
ENSMUSG00000099845.2	Gm29273	0	0	0	0	0	0
ENSMUSG00000103561.2	Gm38069	1	0	0	0	0	1
ENSMUSG00000101610.2	Gm7560	560.73	436.51	442.83	325.88	342.76	501.50
ENSMUSG00000118923.1	Gm22633	0	0	0	0	0	0
ENSMUSG00000098555.3	Mir6341	0	0	0	0	0	0
ENSMUSG00000097628.2	Gm2383	99.32	69.85	78.00	35.00	65.40	91.00
ENSMUSG00000098163.2	Gm6216	0	1	0	1	2	0
ENSMUSG00000097171.2	Gm17644	1.40	1.40	0	1.13	0.53	0.40
ENSMUSG00000101314.2	Gm29663	0	0	1	0	0	0
ENSMUSG00000016918.16	Sulf1	19	3	52	8	2	4
ENSMUSG00000025938.17	Slco5a1	2	9	4	23	3	3
ENSMUSG00000104518.2	Gm37162	1	0	0	0	0	0
ENSMUSG00000069620.7	Gm5250	0	0	0	0	0	1
ENSMUSG00000099498.2	Gm29283	0	0	0	0	0	0
ENSMUSG00000042414.8	Prdm14	1	1	0	4	2	4
ENSMUSG00000005886.15	Ncoa2	254.10	463.50	342	337	364.70	401.50
ENSMUSG00000103506.2	Gm38376	0.20	0.60	0.80	2.20	3.00	1.60
ENSMUSG00000103495.2	Gm37409	0	1	0	45	0	1
ENSMUSG00002076346.1	Gm55160	0	0	0	0	0	0
ENSMUSG00000102639.2	Gm38223	0	0	0	0	0	0
ENSMUSG00000104170.2	Gm37702	0	1	0	3	0	0
ENSMUSG00000087782.3	Gm23169	0	0	0	0	0	0
ENSMUSG00000103085.2	Gm38120	0.20	5	0.20	13.20	1.20	1.20
ENSMUSG00000102664.2	Gm38380	8	12	1	5.20	1.40	1.20
ENSMUSG00000101476.2	Gm29570	0	1	0	1	0	0
ENSMUSG00000101171.2	Gm7593	3.50	4.33	1.67	6.50	6.83	3.67
ENSMUSG00000025935.11	Tram1	3522	3661	3533	1833.50	2761	5083
ENSMUSG00000120948.1	ENSMUSG00000120948	0.20	0.60	0	0.20	0.20	13
ENSMUSG00000025937.7	Lactb2	865.37	621.73	796.50	845.43	999.48	857.77
ENSMUSG00000102982.2	Gm38319	0	1	0.20	1	0.20	3.45
ENSMUSG00000067813.4	Xkr9	0	0	0	2	0	0
ENSMUSG00000077368.3	Gm26273	0	0	0	0	0	0
ENSMUSG00000097711.2	Gm5523	124.76	84.30	99.80	46.00	76.00	119.05
ENSMUSG00000102166.2	Gm36947	0	0	1	1	2	0
ENSMUSG00002075174.1	Gm55173	0	1	0	0	0	0
ENSMUSG00000104209.2	Gm37400	0	0	0	7	1	0
ENSMUSG00000025932.15	Eya1	29	48	15	35	0	0
ENSMUSG00002075819.1	Gm55247	0	0	0	0.20	0	0
ENSMUSG00000102588.2	Gm37444	0	0	0	0	0	0
ENSMUSG00000054493.3	Gm9947	0	1	0	3.50	2	0
ENSMUSG00000025930.7	Msc	0	3	0	1.50	0	0
ENSMUSG00000103492.2	Gm37412	0	0	0	2	1	0
ENSMUSG00000081201.2	Smt3h2-ps4	402.14	342.28	351.43	301.55	418.69	701.87
ENSMUSG00000082193.2	Rpl5-ps1	1442.75	1275.64	1078.36	966.84	1108.64	1815.23
ENSMUSG00000032769.6	Trpa1	1	0	0	5	1	0
ENSMUSG00000088159.3	Gm26345	0	1	0	0	0	0
ENSMUSG00000073737.4	Gm10566	391.03	278.43	325.00	157.50	249.78	358.13
ENSMUSG00000092083.5	Kcnb2	2	3	0	8	5	1
ENSMUSG00000102937.2	Gm38116	0	0	1	0	0	0
ENSMUSG00000104149.2	Gm37138	1	0.20	0	0.20	0.20	0
ENSMUSG00000088829.3	Gm25227	0	0	0	1	0	0
ENSMUSG00000077377.3	Gm25168	0	0	0	1	0	0
ENSMUSG00000101652.2	Gm6060	235.85	211.83	177.58	131.45	210.66	308.63
ENSMUSG00000100814.2	Gm28669	0	0	0	0.20	0	0
ENSMUSG00000025925.15	Terf1	248.10	206.00	103.20	366.40	415.63	666.80
ENSMUSG00000104379.2	Gm37509	0	0	0	0.50	0.50	0.50
ENSMUSG00000032719.5	Sbspon	0	0	0	0.50	1.50	0.50
ENSMUSG00002076565.1	Gm55274	0	0	0	0	0	0
ENSMUSG00000100652.2	Gm7634	0.20	1.25	0.40	1	1.45	1.60
ENSMUSG00000067795.14	4930444P10Rik	0	0	0	1	0	26
ENSMUSG00000043716.14	Rpl7	9706.12	7561.02	7077.31	5094.39	8769.20	13335.31
ENSMUSG00000025921.8	Rdh10	42	40	109	39	44	285.00
ENSMUSG00000104165.2	Gm38249	0	0	1	2	1	0
ENSMUSG00000100868.2	Gm28095	0	0	1	0	1	0
ENSMUSG00000025920.20	Stau2	180	309	332	336	454	462
ENSMUSG00000089982.8	Gm7568	0	1	0	3	3	0
ENSMUSG00000025939.20	Ube2w	1963.30	2233.70	2271.50	2021.70	2431.70	3162.50
ENSMUSG00000102457.2	Gm38342	0.50	2.50	2.50	4.50	5	4
ENSMUSG00000079658.10	Eloc	4433.83	3873.50	3222	3984	4043.25	6236.50
ENSMUSG00000097744.2	D030040B21Rik	0	0.20	1.20	7	0	0.40
ENSMUSG00000100959.2	Idi1-ps5	0.25	0.50	0.67	2	1.25	0
ENSMUSG00000025940.7	Tmem70	164.80	112	58.40	27	213.60	402.20
ENSMUSG00000025779.11	Ly96	966	892	650	467	696	1176
ENSMUSG00000100093.2	Gm29649	0	1	0	0	1	1
ENSMUSG00000091020.4	Gm5828	53.50	22.50	40	61	53	54.50
ENSMUSG00000101640.2	Gm28376	0	0	0	0.20	0.20	0
ENSMUSG00000104133.2	4921511E07Rik	0	0	0	2	0	0
ENSMUSG00000042686.6	Jph1	0	0	5	5	2	0
ENSMUSG00000100110.2	Gm28783	0	0	0	1	0	0
ENSMUSG00000025777.9	Gdap1	0	0	0	4	3	2
ENSMUSG00000099899.2	Gm28784	0	0	0	0	0	0
ENSMUSG00000100272.2	Gm28785	0	0	0	0	0	0
ENSMUSG00000100398.2	Gm5251	7.67	3.33	6.00	5.17	6.67	4.67
ENSMUSG00000101589.2	Rbm6-ps1	32.50	34	32.17	35.50	32	37
ENSMUSG00000102048.2	Gm6075	113.13	86.33	87.77	60.80	100.40	151.06
ENSMUSG00000089534.3	Gm25166	0	0	0	0	0	0
ENSMUSG00000067780.4	Pi15	0	0	1	40.20	0.50	0.20
ENSMUSG00000100053.2	Gm28154	0	0	0	0	0.50	3
ENSMUSG00000085125.8	Gm16070	0	0	0	2	1	1
ENSMUSG00000025776.14	Crispld1	0	1	0	3	0	119.25
ENSMUSG00000099895.2	Gm28153	0	3	0	0	0	0
ENSMUSG00000100554.2	Gm7690	23.50	13.50	19.50	15	28	34.50
ENSMUSG00000099473.2	Gm18775	0	0	0	0	1.50	0
ENSMUSG00000099591.2	Gm17969	1.83	0.50	1.17	7.33	4.58	1.67
ENSMUSG00000109887.2	Gm28756	0	0.20	0	5.30	1.95	0.50
ENSMUSG00000102001.2	Gm28755	0	0	0	0	0	0
ENSMUSG00000101717.3	Gm45784	0	0	0	0.50	0	0
ENSMUSG00000025774.15	Crisp4	0	0	0	0	1	0
ENSMUSG00000070977.5	Defb44-ps	0	0	0	0	0	0
ENSMUSG00000073735.2	Defb18	0	0	0	0	0	0
ENSMUSG00000067773.7	Defb41	0	0	0	2	0	0
ENSMUSG00000101685.2	Gm17837	3	5.50	5	2	5.50	6
ENSMUSG00000101306.2	Gm5252	0	0	0	1	0	0
ENSMUSG00000088800.4	Gm24075	0	0	0	0	0	0
ENSMUSG00000101644.2	Gm28343	0	0	0	0	0	0
ENSMUSG00000099433.2	Gm28344	0	0	0	0	0	0
ENSMUSG00000089787.3	Gm15825	0	1	0	1.50	0	0
ENSMUSG00000042596.8	Tfap2d	0	0	0	0.50	0	0
ENSMUSG00000100720.2	Gm10075	224.35	179.08	185.90	186.85	206.60	311.85
ENSMUSG00000025927.14	Tfap2b	1	0	0	8	1	0
ENSMUSG00000100538.2	Gm28340	0	0	0	0	0	0
ENSMUSG00000101117.2	Gm28341	0	0	0	0	1	0
ENSMUSG00000100204.2	Gm4849	12	21	13	20.50	19.50	7
ENSMUSG00002076883.1	Gm55451	0	0	0	0	0	0
ENSMUSG00000102597.2	Gm38382	0	0	0	2	0	1
ENSMUSG00000043760.17	Pkhd1	1	0	2	14	1	13
ENSMUSG00000104095.2	Gm37315	0.20	0	0	0	1.40	2.40
ENSMUSG00000089914.3	4930486I03Rik	0	0	0	0	0	0
ENSMUSG00000090142.3	Gm15795	41.13	32.35	23.40	19.70	27.50	54.10
ENSMUSG00000070175.3	Gm24162	0	0	0	0	0	0
ENSMUSG00000099906.3	Lincmd1	0	0	0	3	2	48
ENSMUSG00000065559.3	Mir206	0	0	0	0	0	0
ENSMUSG00000065480.3	Mir133b	0	0	0	0	0	0
ENSMUSG00000025929.5	Il17a	0	0	0	0	0	1
ENSMUSG00000041872.10	Il17f	0	0.20	1.00	2.40	3.20	1.60
ENSMUSG00000041859.11	Mcm3	467	342	512	186	392	563
ENSMUSG00000099714.2	Gm20587	0	0	1	2	0	0.67
ENSMUSG00000102121.2	Gm28065	0	0	0	0	0	1
ENSMUSG00000088858.3	Gm24723	0	0	0	0	0	0
ENSMUSG00000097934.2	6720483E21Rik	0	0	0	2	17	1
ENSMUSG00000025931.16	Paqr8	0	5	63	13	4	135
ENSMUSG00000077314.3	Gm24171	0	1	0	2	0	0
ENSMUSG00000100929.2	Gm28064	1	0	0	1	1	0
ENSMUSG00000041809.6	Efhc1	97	0	0	7	0	0
ENSMUSG00000041779.6	Tram2	901	701	652	996	970	695
ENSMUSG00000099971.2	Gm28287	0	0	0	3	0	0
ENSMUSG00000100819.2	Gm2693	0	0	0	1	0	0
ENSMUSG00000025933.16	Tmem14a	68	82.50	181.17	27.83	101.50	373
ENSMUSG00000102633.2	Gm38224	0	0	0	1.40	1.20	1.10
ENSMUSG00000025934.16	Gsta3	22	21	15	30	3	9
ENSMUSG00000099343.2	Gm28836	1	0	0	1	0	0
ENSMUSG00000096375.3	Gm7094	7	1	0	13.50	7.50	7
ENSMUSG00000121505.1	Gm4956	0	0	0	2.50	0	0
ENSMUSG00000025936.18	Gm4956	0	0	0	0.50	0	0
ENSMUSG00000093963.2	Gm21909	0	0	1	0	0	0
ENSMUSG00000067750.4	Khdc1a	0	3.50	0	2.50	0	0
ENSMUSG00000086194.2	Gm16329	0	0	0	0	0.50	0
ENSMUSG00000094436.2	Gm16327	0	0	0	0	0	0
ENSMUSG00000041722.8	Khdc1c	0	1.50	0	1.50	0	0
ENSMUSG00000085507.2	Gm2709	0	0	0	0.67	0.50	0
ENSMUSG00000094926.2	Gm16533	0	0	0	0	0	0
ENSMUSG00000085079.4	Khdc1b	0	0	0	3.33	0	0
ENSMUSG00000085679.3	Gm16328	1	0	0	0	0	0
ENSMUSG00000028033.17	Kcnq5	0	0	0	7.20	1	3
ENSMUSG00000104138.2	Gm36949	0	2	0	3	1	0
ENSMUSG00000082935.4	Gm7658	1033.50	736	870.50	585.50	959.50	1397
ENSMUSG00000103748.2	Gm38243	0	0	0	1.40	0	0
ENSMUSG00000099692.2	Gm5696	0.50	0.75	2.25	0.25	0.50	1
ENSMUSG00000100418.2	Gm28239	0	0	0	0	0	0
ENSMUSG00000041670.20	Rims1	0	0	0	6	4	0
ENSMUSG00000097642.2	Gm26866	0	0	0	2	0	0
ENSMUSG00000101468.2	Gm7761	0	0	0	1	0	0
ENSMUSG00000101227.2	Gm29506	0	1	0	1	0	0
ENSMUSG00000073730.3	Ppp1r14bl	0	0	0	2	3	0
ENSMUSG00000089553.3	Gm24176	0	0	0	0	0	0
ENSMUSG00000102766.2	Gm6420	0	0	0	3	0	0
ENSMUSG00000065405.5	Mir30a	0	0	0	0	0	0
ENSMUSG00000097970.2	Gm27028	0	1	0	0	0.50	0
ENSMUSG00000065567.3	Mir30c-2	0	0	0	0	0.50	0
ENSMUSG00000100775.2	Gm29107	0	0	0	0	0	0
ENSMUSG00000101226.2	Gm20954	0	0	0	0	0	0
ENSMUSG00000026158.12	Ogfrl1	177.53	439.87	235.50	276.75	281.50	290.75
ENSMUSG00000097920.2	Gm7784	18.20	13.20	17.20	9.20	16.40	16.20
ENSMUSG00000099503.2	Gm28822	0	0	0	0	0	0
ENSMUSG00000026156.9	B3gat2	101	226	257.50	195	143	222.50
ENSMUSG00000026155.14	Smap1	184	293	404.50	178	226	354.50
ENSMUSG00000026154.5	Sdhaf4	2054.50	1976.50	1783	851	1232.50	2065
ENSMUSG00000102495.2	Gm26524	58.50	47.50	45	35	37.50	78
ENSMUSG00000026153.16	Fam135a	16	61	49	3	2	20
ENSMUSG00000102398.2	Gm37580	2	1	0	8	1	0
ENSMUSG00000097670.2	Gm26607	0	0	0	0	1	0
ENSMUSG00000026147.17	Col9a1	0	1	0	4	2	2
ENSMUSG00000026141.14	Col19a1	0	0	0	6	1	1
ENSMUSG00000077463.3	Gm26418	0	0	0	0	0	0
ENSMUSG00000099997.2	Tubb4b-ps2	133.33	96.25	121.67	96.00	72.42	114.25
ENSMUSG00000100131.2	Gm28439	10766.75	10439	8521	4875.50	8032	13314.50
ENSMUSG00000067736.3	Gm10222	1341.75	1039.50	1053	531.50	886	1868.50
ENSMUSG00000101939.2	Gm28438	632.50	688	377	248.50	668	1171.50
ENSMUSG00000101111.2	Gm28437	59668.75	51997.50	42762.75	18318.75	51146.75	82988
ENSMUSG00000100862.2	Gm10925	76522.58	65325.49	49878.08	38588.41	70945.91	105901.49
ENSMUSG00000102070.2	Gm28661	21090.67	19109.59	15304.86	6520.81	16276.27	28568.55
ENSMUSG00000101249.2	Gm29216	50767.89	50662.89	39029.83	29220.60	43216.57	71608.01
ENSMUSG00000073725.9	Lmbrd1	6478	4979.60	5556.40	4744.50	4726.30	4725.80
ENSMUSG00000100808.2	Gm28594	0	0	0	3	0	0
ENSMUSG00000100483.2	Gm28237	0	0	0	2	0	1.40
ENSMUSG00000100450.2	Gm9443	5.60	7.00	6.20	4.40	7.60	13.80
ENSMUSG00000099392.2	Gm29414	0	0	0	1	0	0
ENSMUSG00000033569.18	Adgrb3	0	3	0.20	8.20	1	1
ENSMUSG00000080849.2	Gm15702	53.40	38.05	34.40	17.40	39.20	62.90
ENSMUSG00000104257.2	Gm20172	0	2	0	1	2	0
ENSMUSG00000119153.1	Gm22260	0	0	0	0	0	0
ENSMUSG00000102296.2	Gm37543	0	0	0	0	0	0
ENSMUSG00000103209.2	Gm37331	0	0	0	1	0.20	1
ENSMUSG00000104027.2	Gm37211	0	2	0	1	0.20	1
ENSMUSG00000102407.2	Gm37862	0	0	0	0	0	0
ENSMUSG00000103214.2	Gm38286	0	1	1	3	0	0
ENSMUSG00000104100.2	Gm37880	0	0	0	2	1.20	0.20
ENSMUSG00000084740.3	Gm25294	0	0	0	0	0	0
ENSMUSG00000103889.2	Gm37011	0	0	0	5	0	0.20
ENSMUSG00000101301.2	Gm29214	1	0	0	0	0	0
ENSMUSG00000104221.2	Gm37051	0	0	0	5	0	1
ENSMUSG00000102250.2	Gm38260	0	0	0	2	2	0
ENSMUSG00000102317.2	Gm37628	0	0	0	2.25	1	3
ENSMUSG00000103563.2	8030445P17Rik	0	0	0	0	0	0
ENSMUSG00000102465.2	Gm38198	0	0	0	2.20	0	1.20
ENSMUSG00000102659.2	Gm37077	0	0	0	4	0	0.33
ENSMUSG00000103924.2	Gm37895	0	0	0	1	2	0
ENSMUSG00000104132.2	Gm36952	0	2	0	0	0	1
ENSMUSG00000102747.2	Gm37602	0	0	0	5	0	0
ENSMUSG00000102386.2	2900022M07Rik	0	0	0	1	0	0
ENSMUSG00000103004.2	2900002M20Rik	0	0	0	1	0	0
ENSMUSG00000104516.2	Gm9884	0	0	0	1	0	0
ENSMUSG00000101618.2	Gm18443	0	0	0	0	0	0
ENSMUSG00000099458.2	Gm19123	0	0	0	1	0	0
ENSMUSG00000088111.3	Gm24064	0	0	0	0	0	0
ENSMUSG00000073722.4	4931408C20Rik	0	0	0	4	2	1
ENSMUSG00000119695.1	n-R5s209	1	0	0	0	0	0
ENSMUSG00000100310.2	Gm19641	0	0	0	0	0	0
ENSMUSG00000101514.3	Gm5524	0	0	0	2.50	0	0
ENSMUSG00000101033.2	Gm18776	0	0	0	0.50	0	0
ENSMUSG00000101372.2	Gm19028	2	1.50	1.50	4	2	2
ENSMUSG00000103241.2	Gm38089	0	0	0	1	0	0
ENSMUSG00000086240.5	Gm7846	107.67	82.83	57.33	61.33	114.00	217.00
ENSMUSG00000048411.5	Gm597	0	1	0	0	0	0
ENSMUSG00000081557.3	Gm5697	15.67	11	6.50	9.70	16.20	8.40
ENSMUSG00000058590.3	Gm6462	0	0	0	0	0	0
ENSMUSG00000101235.2	Gm18033	0	0	0	0	0	0
ENSMUSG00002075209.1	Gm55767	0	0	0	1	0	0
ENSMUSG00002076857.1	Gm55769	0	0	0	0	0	0
ENSMUSG00002074912.1	Gm55770	0	0	0	0	0	0
ENSMUSG00000099257.3	Mir6342	0	0	0	0	0	0
ENSMUSG00000099492.2	Gm5525	591.16	423.73	468.18	236.01	383.41	483.70
ENSMUSG00000118548.2	Gm53035	0	0	0	3	2	1
