Geneid	gene_name	WT_1	WT_2	WT_3	WT_4	DBDB_1	DBDB_2	DBDB_3	DBDB_4
ENSMUSG00000102135.2	Gm37108	3.03	1.00	2.20	2.93	0.58	0.20	0.25	5.50
ENSMUSG00000103282.2	Gm37275	0	0	0	0	0	0	0	0
ENSMUSG00000102534.2	Gm37225	0	0	0	0	0	0	0	0
ENSMUSG00000102213.2	Gm37489	0	0	0	0	0	0	0	0
ENSMUSG00000103629.2	Gm5694	0	0	0	0	0	0	0	0
ENSMUSG00000120372.1	ENSMUSG00000120372	4	5.00	9	5	14	2	1	2
ENSMUSG00000051285.18	Pcmtd1	413	410	379.50	342.50	401.50	358	253	273
ENSMUSG00000098201.2	Gm26983	1	0	1	2	0	0	0	0
ENSMUSG00000103509.2	Gm38372	0	0	0	0	0	0	0	0
ENSMUSG00000048538.8	Gm9826	0.50	0	0	0	0	0	0	0.50
ENSMUSG00000103709.2	Nras-ps2	0	0	0	0	0	0	0	0
ENSMUSG00000077244.3	Gm23274	0	0	0	0	0	0	0	0
ENSMUSG00000102768.2	Gm19002	0	0	0	0	0	0	0	0
ENSMUSG00000097797.7	Gm26901	0	2	0	1	0	0	0	0
ENSMUSG00000103498.2	Gm18984	0	0	0	0	0	0	0	0
ENSMUSG00000103067.2	Gm30414	0	0	0	0	0	0	0	0
ENSMUSG00000102320.2	Gm37791	0	0	0	0	0	0	0	0
ENSMUSG00000104226.2	Gm7470	0	0	0	0	0	0	0	0
ENSMUSG00000103903.2	Rps2-ps2	0	0	0	0	0	0	0	0
ENSMUSG00000103557.2	Gm38216	0	0	0	0	0	0	0	0
ENSMUSG00000025909.17	Sntg1	0	0	0	0	0	0	0	0
ENSMUSG00000102647.2	Gm38024	0	0	0	0	0	0	0	0
ENSMUSG00000086235.2	Gm16284	0	0	0	0	0	0	0	0
ENSMUSG00000102253.2	Gm38259	0	0	0	0	0	0	0	0
ENSMUSG00002074990.1	Gm54704	0	0	0	0	0	0	0	0
ENSMUSG00000103884.2	Gm37005	0	0	0	0	0	0	0	0
ENSMUSG00000084353.2	Gm15452	0	0	0	0	0	0	0	0
ENSMUSG00000103933.2	Gm36964	0	0	0	0	0.12	0.20	0	0
ENSMUSG00002075967.1	Gm54706	11.35	13.30	21.27	19.60	16.54	22.73	20.33	23.18
ENSMUSG00000086195.2	Gm6152	0	0	0	0	0	0	0	0
ENSMUSG00000104504.2	Gm7445	0	0	0	0	0	0	0	0
ENSMUSG00000066693.3	Gm7493	0	0	0	0	0	0	0	0
ENSMUSG00000102316.2	Gm37629	0	0	0	0	0	0	0	0
ENSMUSG00000103819.2	Gm38008	0	0	0	0	0	0	0	0
ENSMUSG00000102871.2	Gm37143	0	0	0	0	0	0	0	0
ENSMUSG00000101571.3	Gm6187	0	0	0	0	0	0	0	0
ENSMUSG00000104428.2	Gm18299	0	0	0	0	0	0	0	0
ENSMUSG00000102272.2	Gm7512	0	0	0	0	0	0	0	0
ENSMUSG00000065625.3	Gm24765	0	0	0	0	0	0	0	0
ENSMUSG00000103411.2	Gm18300	0	0	0	0	0	0	0	0
ENSMUSG00000061024.9	Rrs1	18	21	37	32	57	16	17	20
ENSMUSG00000025911.15	Adhfe1	53	57	67	44	56.50	73	38	32
ENSMUSG00000079671.10	2610203C22Rik	7	6	5.50	3	13.50	2	6	3.50
ENSMUSG00000081441.4	Gm6161	0.20	0.80	0.20	0	1.00	0.60	0	0
ENSMUSG00000067879.4	Vxn	1	0	1.50	0	5	2	9	2.50
ENSMUSG00000099827.2	Gm29520	0	0	0	0	0	0	0	0
ENSMUSG00000025912.17	Mybl1	0	0	1	1	4	0	0	2
ENSMUSG00000045210.9	Vcpip1	23	26	30	35	30	24	20	29.50
ENSMUSG00000097893.10	1700034P13Rik	0	1	0	0	0	0	0	1.50
ENSMUSG00000025915.15	Sgk3	13	8	19	15	17	10	8	6
ENSMUSG00000046334.5	Gm6195	0	0	0	0	0	0	0	0
ENSMUSG00002075801.1	Gm54812	0	0	0	0	0	0	0	0
ENSMUSG00000098234.9	Snhg6	24.50	25.50	32	25	5	17	5	8
ENSMUSG00000046101.17	Mcmdc2	8.50	4.50	8.50	8.50	3	5	2	1
ENSMUSG00000093178.3	Snord87	0	0	0.50	0.50	0	0	0	0
ENSMUSG00000099032.3	Tcf24	0	0	0	4	0	1	3	2
ENSMUSG00000104025.2	E330040D14Rik	0	0	0	0	0	1	0	0
ENSMUSG00000025916.11	Ppp1r42	0	0	0	0	0	0	0	0
ENSMUSG00000087199.2	Gm15818	0	0	0	0	0	0	0	0
ENSMUSG00000121270.1	ENSMUSG00000121270	0	0	0	0	0	0	0	0
ENSMUSG00000119658.1	Gm24674	0	0	0	0	0	0	0	0
ENSMUSG00000025917.10	Cops5	86	122	108	121	205	138	91	143
ENSMUSG00000056763.17	Cspp1	28	25	30	20	62	19.50	28	12
ENSMUSG00000102356.2	1700047N06Rik	0	0	0	0	0	0	0	0
ENSMUSG00000067851.12	Arfgef1	46	52	77.00	56	48	75	44	59
ENSMUSG00002076532.1	Gm54899	0	0	0	0	0	0	0	0
ENSMUSG00000102556.2	Gm37569	0	2	2	0	1	0	0	0
ENSMUSG00000042501.13	Cpa6	0	0	0	0	0	0	0	0
ENSMUSG00000103810.2	Gm38005	0	0	0	0	0	0	0	0
ENSMUSG00000083422.2	Gm15604	0	0	0	0	0	0	0	0
ENSMUSG00000119312.1	Gm25253	0	0	0	0	0	0	0	0
ENSMUSG00000081417.2	Gm15603	0	0	0	0	0	0	0	0
ENSMUSG00000103448.2	Gm37133	0	0	0	0	0	0	0	0
ENSMUSG00000100212.2	Gm5522	0	0	0	0	0	0	0	0
ENSMUSG00000100648.2	Gm28659	0	0	0	0	0	0	0	0
ENSMUSG00002076499.1	Gm54912	0	0	0	0	0	0	0	0
ENSMUSG00000048960.14	Prex2	124	89	100	96	54	73	64	49
ENSMUSG00000077318.3	Gm24173	0	0	0	0	0	0	0	0
ENSMUSG00000101827.2	Gm28686	0	0	0	0	0	0	0	0
ENSMUSG00000103494.2	Gm37410	0	0	0	0	0	0	0	0
ENSMUSG00000057715.14	A830018L16Rik	0	2	0	0	1	0	0	0.50
ENSMUSG00000103825.2	Gm38178	0	0	0	0	0	0	0	0
ENSMUSG00000099845.2	Gm29273	0	0	0	0	0	0	0	0
ENSMUSG00000103561.2	Gm38069	0	0	0	0	0	0	0	0
ENSMUSG00000101610.2	Gm7560	0	0	0	0	0	0	0	0
ENSMUSG00000118923.1	Gm22633	0	0	0	0	0	0	0	0
ENSMUSG00000098555.3	Mir6341	0	0	0	0	0	0	0	0
ENSMUSG00000097628.2	Gm2383	0	0	0	0	0	0	0	0
ENSMUSG00000098163.2	Gm6216	0	0	0	0	0	0	0	0
ENSMUSG00000097171.2	Gm17644	0	0	0	0	0	0	0	0
ENSMUSG00000101314.2	Gm29663	0	0	0	0	0	0	0	0
ENSMUSG00000016918.16	Sulf1	2	3	4	1	26	8	7	11
ENSMUSG00000025938.17	Slco5a1	0	0	0	1	1	3	3	1
ENSMUSG00000104518.2	Gm37162	0	0	0	0	0	0	0	0
ENSMUSG00000069620.7	Gm5250	0	0	0	0	0	0	0	0
ENSMUSG00000099498.2	Gm29283	0	0	0	0	0	0	0	0
ENSMUSG00000042414.8	Prdm14	0	0	0	0	0	0	0	0
ENSMUSG00000005886.15	Ncoa2	20.00	22	18	13	32	30.00	13	15
ENSMUSG00000103506.2	Gm38376	0	0	0	0	0	0	0	0
ENSMUSG00000103495.2	Gm37409	0	0	0	0	1	0	0	0
ENSMUSG00002076346.1	Gm55160	0	0	0	0	0	0	0	0
ENSMUSG00000102639.2	Gm38223	0	0	0	0	0	0	0	0
ENSMUSG00000104170.2	Gm37702	0	0	0	0	0	0	0	0
ENSMUSG00000087782.3	Gm23169	0	0	0	0	0	0	0	0
ENSMUSG00000103085.2	Gm38120	4	11	4	2	4	1	0	0
ENSMUSG00000102664.2	Gm38380	7	7	5	2	8	5	1	0
ENSMUSG00000101476.2	Gm29570	0	0	0	0	0	0	0	0
ENSMUSG00000101171.2	Gm7593	0	0	0	0	0	0	0	0
ENSMUSG00000025935.11	Tram1	57	59	85	67	104	121	57	91
ENSMUSG00000120948.1	ENSMUSG00000120948	0	0	0	0	0	0	0	0
ENSMUSG00000025937.7	Lactb2	95.50	117	138	97	91.40	145.60	64.20	77
ENSMUSG00000102982.2	Gm38319	0.25	0.20	0.33	0	0	0	0	0
ENSMUSG00000067813.4	Xkr9	0	0	0	0	0	0	0	0
ENSMUSG00000077368.3	Gm26273	0	0	0	0	0	0	0	0
ENSMUSG00000097711.2	Gm5523	0	0.20	1.20	0.20	1.20	0.20	0	0.20
ENSMUSG00000102166.2	Gm36947	0	0	0	0	0	0	0	0
ENSMUSG00002075174.1	Gm55173	0	0	0	0	0	0	0	0
ENSMUSG00000104209.2	Gm37400	0	0	0	0	0	0	0	0
ENSMUSG00000025932.15	Eya1	3	1	0	1	13	0	1	2
ENSMUSG00002075819.1	Gm55247	0	0	0	0	0	0	0	0
ENSMUSG00000102588.2	Gm37444	0	0	0	0	0	0	0	0
ENSMUSG00000054493.3	Gm9947	0	0	0	0	0	0	0	0
ENSMUSG00000025930.7	Msc	9	6	17	15	22	10	12	11
ENSMUSG00000103492.2	Gm37412	0	0	0	0	0	0	0	0
ENSMUSG00000081201.2	Smt3h2-ps4	0.40	0.53	0.85	0.40	0.20	0.60	0.85	0.45
ENSMUSG00000082193.2	Rpl5-ps1	73.92	56.08	52.25	46.42	75.92	56.92	52.50	72.50
ENSMUSG00000032769.6	Trpa1	0	0	0	0	0	0	0	0
ENSMUSG00000088159.3	Gm26345	0	0	0	0	0	0	0	0
ENSMUSG00000073737.4	Gm10566	4.20	17.80	23.00	13.80	15.00	18.10	4.60	12.70
ENSMUSG00000092083.5	Kcnb2	0	0	0	0	0	0	0	0
ENSMUSG00000102937.2	Gm38116	0	0	0	0	0	0	0	0
ENSMUSG00000104149.2	Gm37138	0	0	0	0	0	0	0	0
ENSMUSG00000088829.3	Gm25227	0	0	0	0	0	0	0	0
ENSMUSG00000077377.3	Gm25168	0	0	0	0	0	0	0	0
ENSMUSG00000101652.2	Gm6060	0	0	0	0	0	0	0	0
ENSMUSG00000100814.2	Gm28669	0	0	0	0	0	0	0	0
ENSMUSG00000025925.15	Terf1	10.20	1.40	6	1	12	3	3.20	5
ENSMUSG00000104379.2	Gm37509	0	0	0	0	0	0	0	0.50
ENSMUSG00000032719.5	Sbspon	0	0	0	0	0	0	0	0.50
ENSMUSG00002076565.1	Gm55274	0	0	0	0	0	0	0	0
ENSMUSG00000100652.2	Gm7634	0	0	0	0	0	0	0	0
ENSMUSG00000067795.14	4930444P10Rik	1	0	0	0	0	0	0	0
ENSMUSG00000043716.14	Rpl7	978.17	1030.83	1215.17	1016.83	1376.50	1234.00	984.67	1187.50
ENSMUSG00000025921.8	Rdh10	11	18	21	15	15	17	10	13
ENSMUSG00000104165.2	Gm38249	0	0	0	0	0	0	0	0
ENSMUSG00000100868.2	Gm28095	0	1	0	0	0	0	0	0
ENSMUSG00000025920.20	Stau2	68	48	62	56	63	75	61	76
ENSMUSG00000089982.8	Gm7568	0	0	0	0	0	0	0	0
ENSMUSG00000025939.20	Ube2w	12	19	34	27	22.00	70	19	22.50
ENSMUSG00000102457.2	Gm38342	0	1	2	0	0	1	0	1.50
ENSMUSG00000079658.10	Eloc	85	102.00	146.00	92	120.00	215	115	120
ENSMUSG00000097744.2	D030040B21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100959.2	Idi1-ps5	2	0	0	0	0	0	0	0
ENSMUSG00000025940.7	Tmem70	176	157	194	167	180	211	165	157
ENSMUSG00000025779.11	Ly96	0	1	9	3	5	1	1	5
ENSMUSG00000100093.2	Gm29649	0	0	0	0	0	0	0	0
ENSMUSG00000091020.4	Gm5828	0	0	0	0	0	0	0	0
ENSMUSG00000101640.2	Gm28376	0	0	0	0	3	0.50	0	0
ENSMUSG00000104133.2	4921511E07Rik	0	0	0	0	0	0	0	0
ENSMUSG00000042686.6	Jph1	9	8	6	4	47	17.50	19	12
ENSMUSG00000100110.2	Gm28783	0	0	0	0	0	0	0	0
ENSMUSG00000025777.9	Gdap1	0	0	0	0	3	2	0	0
ENSMUSG00000099899.2	Gm28784	0	0	0	0	0	0	0	0
ENSMUSG00000100272.2	Gm28785	0	0	0	0	0	0	0	0
ENSMUSG00000100398.2	Gm5251	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	Rbm6-ps1	0	0	0	0	0	0	0	1.50
ENSMUSG00000102048.2	Gm6075	0	0	0	0	0	0	0	0
ENSMUSG00000089534.3	Gm25166	0	0	0	0	0	0	0	0
ENSMUSG00000067780.4	Pi15	1	0	0	0	11	6	0	0
ENSMUSG00000100053.2	Gm28154	0	0	0	0	0	0	0	0
ENSMUSG00000085125.8	Gm16070	0	0	0	0	0	0	0	0
ENSMUSG00000025776.14	Crispld1	1	1	4	0	1	1	3	1
ENSMUSG00000099895.2	Gm28153	0	0	0	0	0	0	0	0
ENSMUSG00000100554.2	Gm7690	0	0	0	0	0	0	0	0
ENSMUSG00000099473.2	Gm18775	0	0	0	0	0	0	0	0
ENSMUSG00000099591.2	Gm17969	0	0	0	0	0	0	0	0
ENSMUSG00000109887.2	Gm28756	0	0	0	0	0	0	0	0
ENSMUSG00000102001.2	Gm28755	0	0	0	0	0	0	0	0
ENSMUSG00000101717.3	Gm45784	0	0	0	0	0	0	0	0
ENSMUSG00000025774.15	Crisp4	0	0	0	0	0	0	0	0
ENSMUSG00000070977.5	Defb44-ps	0	0	0	0	0	0	0	0
ENSMUSG00000073735.2	Defb18	0	0	0	0	0	0	0	0
ENSMUSG00000067773.7	Defb41	0	0	0	0	0	0	0	0
ENSMUSG00000101685.2	Gm17837	0	0	0	0	0	0	0	0
ENSMUSG00000101306.2	Gm5252	0	0	0	0	0	0	0	0
ENSMUSG00000088800.4	Gm24075	0	0	0	0	0	0	0	0
ENSMUSG00000101644.2	Gm28343	0	0	0	0	0	0	0	0
ENSMUSG00000099433.2	Gm28344	0	0	0	0	0	0	0	0
ENSMUSG00000089787.3	Gm15825	0	0	0	0	0	0	0	0
ENSMUSG00000042596.8	Tfap2d	0	0	0	0	0	0	0	0
ENSMUSG00000100720.2	Gm10075	28.70	32.05	29.25	27.33	32.60	24.00	21.38	31.05
ENSMUSG00000025927.14	Tfap2b	0	0	0	0	0	0	0	0
ENSMUSG00000100538.2	Gm28340	0	0	0	0	0	0	0	0
ENSMUSG00000101117.2	Gm28341	0	0	0	0	0	0	0	0
ENSMUSG00000100204.2	Gm4849	0	0	0	0	0	0	0	0
ENSMUSG00002076883.1	Gm55451	0	0	0	0	0	0	0	0
ENSMUSG00000102597.2	Gm38382	0	0	0	0	0	0	0	0
ENSMUSG00000043760.17	Pkhd1	0	0	0	0	0	0	0	0
ENSMUSG00000104095.2	Gm37315	0	0	0	0	0	0	0	0
ENSMUSG00000089914.3	4930486I03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000090142.3	Gm15795	0	0	0	0	0	0	0	0
ENSMUSG00000070175.3	Gm24162	0	0	0	0	0	0	0	0
ENSMUSG00000099906.3	Lincmd1	0	0	0	0	0	0	0	0
ENSMUSG00000065559.3	Mir206	0	0	0	0	0	0	0	0
ENSMUSG00000065480.3	Mir133b	0	0	0	0	0	0	0	0
ENSMUSG00000025929.5	Il17a	0	0	0	0	0	0	0	0
ENSMUSG00000041872.10	Il17f	0	0	0	0	0	0	0	0
ENSMUSG00000041859.11	Mcm3	10	11	7	5	15	23	7	8
ENSMUSG00000099714.2	Gm20587	0	0	0	0	0	0	0	0
ENSMUSG00000102121.2	Gm28065	0	0	0	0	0	0	0	0
ENSMUSG00000088858.3	Gm24723	0	0	0	0	0	0	0	0
ENSMUSG00000097934.2	6720483E21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000025931.16	Paqr8	0	2	1	0	5	0	3	0
ENSMUSG00000077314.3	Gm24171	0	0	0	0	0	0	0	0
ENSMUSG00000100929.2	Gm28064	0	0	0	0	0	0	0	0
ENSMUSG00000041809.6	Efhc1	0	1	0	2	2	3	4	0
ENSMUSG00000041779.6	Tram2	7	7	5	2	18	14	9	16
ENSMUSG00000099971.2	Gm28287	0	0	0	0	0	0	0	0
ENSMUSG00000100819.2	Gm2693	1	0	0	0	0	0	1	1
ENSMUSG00000025933.16	Tmem14a	12	1	10	6	40	22	29	28
ENSMUSG00000102633.2	Gm38224	0.20	0.20	1	0	1	0	0	0.20
ENSMUSG00000025934.16	Gsta3	9	3	10	6	20	13	12	13
ENSMUSG00000099343.2	Gm28836	0	0	0	1	0	0	0	0
ENSMUSG00000096375.3	Gm7094	0	0	0	3.50	1	0.50	2	0
ENSMUSG00000121505.1	Gm4956	0	0	0	0	0	0	0	0
ENSMUSG00000025936.18	Gm4956	0	0	0	0	0	0	0	0
ENSMUSG00000093963.2	Gm21909	0	0	0	0	0	0	0	0
ENSMUSG00000067750.4	Khdc1a	0	0	0	0	0	0	0	0
ENSMUSG00000086194.2	Gm16329	0	0	0	0	0	0	0	0
ENSMUSG00000094436.2	Gm16327	0	0	0	0	0	0	0	0
ENSMUSG00000041722.8	Khdc1c	0	0	0	0	0	0	0	0
ENSMUSG00000085507.2	Gm2709	0	0	0	0	0	0	0	0
ENSMUSG00000094926.2	Gm16533	0	0	0	0	0	0	0	0
ENSMUSG00000085079.4	Khdc1b	0	0	0	0	0	0	0	0
ENSMUSG00000085679.3	Gm16328	0	0	0	0	0	0	0	0
ENSMUSG00000028033.17	Kcnq5	3	3	0	1	0	0	1	0
ENSMUSG00000104138.2	Gm36949	0	0	0	0	0	0	0	0
ENSMUSG00000082935.4	Gm7658	31.50	32.50	47.50	43	49	60	33.50	42
ENSMUSG00000103748.2	Gm38243	0	0	0	0	0	0	0	0
ENSMUSG00000099692.2	Gm5696	0	0	0	0	0	0	0	0
ENSMUSG00000100418.2	Gm28239	0	0	0	0	0	0	0	0
ENSMUSG00000041670.20	Rims1	0	0	0	0	0	0	0	0
ENSMUSG00000097642.2	Gm26866	0	0	0	0	0	0	0	0
ENSMUSG00000101468.2	Gm7761	0	0	0	0	0	0	0	0
ENSMUSG00000101227.2	Gm29506	0	0	0	0	0	0	0	0
ENSMUSG00000073730.3	Ppp1r14bl	0	0	0	0	0	0	0	0
ENSMUSG00000089553.3	Gm24176	0	0	0	0	0	0	0	0
ENSMUSG00000102766.2	Gm6420	0	0	0	0	0	0	0	0
ENSMUSG00000065405.5	Mir30a	0	0	0	0	0	0	0	0
ENSMUSG00000097970.2	Gm27028	0	0	0	0	0	0	0	0
ENSMUSG00000065567.3	Mir30c-2	0	0	0	0	0	0	0	0
ENSMUSG00000100775.2	Gm29107	0	2	0	0	2	0	2	0
ENSMUSG00000101226.2	Gm20954	0	0	0	0	0	0	0	0
ENSMUSG00000026158.12	Ogfrl1	29	34	45	33	82	53	37	54
ENSMUSG00000097920.2	Gm7784	0	0	0	0	0	0	0	0
ENSMUSG00000099503.2	Gm28822	0	0	0	0	0	0	0	0
ENSMUSG00000026156.9	B3gat2	50	70	48.50	52	40.50	35	30	43
ENSMUSG00000026155.14	Smap1	184	207	218.50	161	152.50	166	120	169
ENSMUSG00000026154.5	Sdhaf4	84	90.50	116	93	166.50	154.00	90	107
ENSMUSG00000102495.2	Gm26524	1	0.50	1	0	1.50	0	0	0
ENSMUSG00000026153.16	Fam135a	14	22	14	13.00	27	33	21	22.00
ENSMUSG00000102398.2	Gm37580	0	0	0	0	0	0	0	0
ENSMUSG00000097670.2	Gm26607	0	0	0	0	0	0	0	0
ENSMUSG00000026147.17	Col9a1	0	0	0	0	0	0	0	0
ENSMUSG00000026141.14	Col19a1	0	0	0	0.50	0	0	0	0
ENSMUSG00000077463.3	Gm26418	0	0	0	0	0	0	0	0
ENSMUSG00000099997.2	Tubb4b-ps2	5	4.50	7.50	9.50	7.50	11.50	1	3.50
ENSMUSG00000100131.2	Gm28439	4889.75	4269.25	4596.75	4301.50	5925.33	9143.42	4851.00	7020.75
ENSMUSG00000067736.3	Gm10222	1567.25	1584.00	1729.00	1779.75	3372.58	3755.92	2781.50	3258.75
ENSMUSG00000101939.2	Gm28438	7223.67	10513.50	11739.08	8910.50	8950.75	18561.53	9022.25	10472.25
ENSMUSG00000101111.2	Gm28437	94295.42	85537.33	78474.75	80087.75	72883.75	95996.83	67727.50	86050.50
ENSMUSG00000100862.2	Gm10925	78631.08	90758.33	86152.33	86791.75	66585.75	73951.08	66964.50	82445.50
ENSMUSG00000102070.2	Gm28661	44302.16	55597.91	63370.41	49349.25	53961.83	83090.08	49993.50	56025.33
ENSMUSG00000101249.2	Gm29216	8857.15	8519.49	20152.48	6941.15	17716.30	13462.16	16152.06	9408.32
ENSMUSG00000073725.9	Lmbrd1	38	61.20	84.20	70.20	104	99.80	69	82
ENSMUSG00000100808.2	Gm28594	0	0	0	0	0	0	0	0
ENSMUSG00000100483.2	Gm28237	0	0	0	0	0	0	0	0
ENSMUSG00000100450.2	Gm9443	0	0	0	0	0	0	0	0
ENSMUSG00000099392.2	Gm29414	0	0	0	0	0	0	0	0
ENSMUSG00000033569.18	Adgrb3	0	0	0	0	0	0	0	0
ENSMUSG00000080849.2	Gm15702	0	0	0	0	0	0	0	0
ENSMUSG00000104257.2	Gm20172	0	0	0	0	0	0	0	0
ENSMUSG00000119153.1	Gm22260	0	0	0	0	0	0	0	0
ENSMUSG00000102296.2	Gm37543	0	0	0	0	0	0	0	0
ENSMUSG00000103209.2	Gm37331	0	0	0	0	0	0	0	0
ENSMUSG00000104027.2	Gm37211	0	0	0	0	0	0	0	0
ENSMUSG00000102407.2	Gm37862	0	0	0	0	0	0	0	0
ENSMUSG00000103214.2	Gm38286	0	0	0	0	0	0	0	0
ENSMUSG00000104100.2	Gm37880	0	0	0	0	0	0	0	0
ENSMUSG00000084740.3	Gm25294	0	0	0	0	0	0	0	0
ENSMUSG00000103889.2	Gm37011	0	0	0	0	0	0	0	0
ENSMUSG00000101301.2	Gm29214	0	0	0	0	0	0	0	0
ENSMUSG00000104221.2	Gm37051	0	0	0	0	0	0	0	0
ENSMUSG00000102250.2	Gm38260	0	0	0	0	0	0	0	0
ENSMUSG00000102317.2	Gm37628	0	0	0	0	0	0	0	0
ENSMUSG00000103563.2	8030445P17Rik	0	0	0	0	0	0	0	0
ENSMUSG00000102465.2	Gm38198	0	0	0	0	0	0	0	0
ENSMUSG00000102659.2	Gm37077	0	0	0	0	0	0	0	0
ENSMUSG00000103924.2	Gm37895	0	0	0	0	0	0	0	0
ENSMUSG00000104132.2	Gm36952	0	0	0	0	0	0	0	0
ENSMUSG00000102747.2	Gm37602	0	0	0	0	0	0	0	0
ENSMUSG00000102386.2	2900022M07Rik	0	0	0	0	0	0	0	0
ENSMUSG00000103004.2	2900002M20Rik	0	0	0	0	0	0	0	0
ENSMUSG00000104516.2	Gm9884	0	0	0	0	0	0	0	0
ENSMUSG00000101618.2	Gm18443	0	0	0	0	0	0	0	0
